Date,Symbol,Source,HeadLine
25/08/60,BFIT,ทันหุ้น,คอลัมน์ ไม้นี้ต้องเคาะ: SAWAD
17/08/60,BFIT,ทันหุ้น,SAWADพื้นฐานปึ้กเป็นโอกาสปักหมุดส่องอนาคตไกล58บ.
01/08/60,BFIT,ทันหุ้น,SAWADแววQ2อลังการเชียร์สอยอัพเป้า60.50บ.
13/07/60,BFIT,ทันหุ้น,คอลัมน์ รู้ทันการลงทุน: บล.บัวหลวง: SAWAD : ปรับกำไรเพิ่ม...
05/06/60,BFIT,ทันหุ้น,คอลัมน์ รู้ทันการลงทุน บล.บัวหลวง: SAWAD: สินเชื่อเติบโต กาง...
31/05/60,BFIT,ทันหุ้น,SAWADเด่นเข้าตาขยับสินเชื่อโต32%อัพราคาใหม่60บาท
23/05/60,BFIT,ทันหุ้น,SAWAD พอร์ตสินเชื่อโตแรง โบรกประเมินกำไรพุ่ง 33%
11/05/60,BFIT,ทันหุ้น,คอลัมน์ กระซิบหน้าจอ
26/04/60,BFIT,ทันหุ้น,SAWAD งบสร้างสถิติสูงสุด จัดเป้าราคา 57 บาท
25/04/60,BFIT,ทันหุ้น,คอลัมน์ รู้ทันการลงทุน: บล.บัวหลวง: SAWAD: โดดเด่น แม้ตลาด...
30/03/60,BFIT,ทันหุ้น,SAWAD สินเชื่อดันรายได้โต รวม BFIT หนุนงบ Q2 สุดพีค
27/03/60,BFIT,ทันหุ้น,คอลัมน์ รู้ทันการลงทุน: บล.บัวหลวง: SAWAD : อนาคตสดใส มอง...
09/03/60,BFIT,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
22/02/60,BFIT,ทันหุ้น,SAWADปูพรมเปิดสาขาใหม่วางแผนโรดโชว์กองทุนตปท.
20/01/60,BFIT,ทันหุ้น,'SAWAD'มั่นใจหุ้นกู้ขายฉลุยชี้หลังเทคบีฟิทธุรกิจแกร่งขึ้น
30/12/59,BFIT,ทันหุ้น,SAWADเดินเกมเทกBFITเพิ่มช่องรายได้-ลดต้นทุน
08/08/59,BFIT,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
28/07/59,BFIT,ทันหุ้น,คอลัมน์ รู้ทันการลงทุน บล.บัวหลวง: SAWAD ฐานเติบโตโบรกส่อง...
08/07/59,BFIT,ทันหุ้น,คอลัมน์ กระซิบหน้าจอ
06/07/59,BFIT,ทันหุ้น,40หลักทรัพย์ที่มีมูลค่าการซื้อ-ขายสูงสุด
29/06/59,BFIT,ทันหุ้น,SAWADธุรกิจติดปีกจับมือBFIเสริมแกร่งขึ้นหิ้งGrowth Stock
14/03/59,BFIT,ทันหุ้น,สแกน'หุ้นปันผล'ก่อนXD SIRIแซงกลุ่มยิลด์ทะลุ7%
10/05/55,BFIT,ทันหุ้น,"คอลัมน์ คู่หูคู่หุ้น: ""HMPRO""เติบโตเป้าหมาย14.20บาท"
13/09/54,BFIT,ทันหุ้น,คอลัมน์ จับชีพจรหุ้นร้อน
13/09/54,BFIT,ทันหุ้น,"""BFIT""คว้ากำไรQ3มือบวม งบปี54แตะ520ล.-ยิลด์14%"
19/08/54,BFIT,ทันหุ้น,BFITหุ้นเด่นเทรดต่ำบุ๊กโบรกลุ้นราคาพุ่งแตะ7.30บ.
13/07/54,BFIT,ทันหุ้น,BFITลุ้นกำไรก้าวกระโดดโบรกชี้ราคาหุ้นส่อทำนิวไฮ
