Date,Symbol,Source,HeadLine
14/02/56,GBX,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
29/01/56,GBX,ทันหุ้น,GBXเร่งสร้างทีมขยายฐานการันตียอดขาย3หมื่นล้าน
23/01/56,GBX,ทันหุ้น,ดัชนีพุ่งหนุนกลุ่มหลักทรัพย์ KGI-ASPคว้ากำไรเต็มพอร์ต
14/01/56,GBX,ทันหุ้น,"GBXชี้ครึ่งแรกทองแตะ1,800ดอลลาร์ ปักธงดันยอดขายพุ่งทะยาน30%"
20/11/55,GBX,ทันหุ้น,โกลเบล็กกรุ๊ปฉลอง10ปีแจกแหลกลุ้นรับฮอนด้าซีอาร์วี-โตโยต้าพรี...
14/11/55,GBX,ทันหุ้น,"GBXชี้ทองคำปีนี้แตะ1,820ดอลล์ แนะขายทำกำไร-ซื้อช่วงอ่อนตัว"
14/11/55,GBX,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
10/10/55,GBX,ทันหุ้น,"GBXลุ้นทองแตะ1,830 ดอลล์แนะย่อตัวทยอยซื้อเข้าพอร์ต"
19/09/55,GBX,ทันหุ้น,"โกลเบล็กแนะทยอยเก็บทองชี้มีลุ้นไฮเดิม 1,920 ดอลล์"
30/08/55,GBX,ทันหุ้น,"GBXชี้เก็งกำไรทองลุ้นQE3เกิดรอย่อเล่นรอบใหม่1,640ดอลลาร์"
21/08/55,GBX,ทันหุ้น,GBXอัพยอดขายลุยเพิ่มมาร์เก็ตติ้ง
10/08/55,GBX,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
01/08/55,GBX,ทันหุ้น,GBXชี้โอกาสสะสมทองรอบใหม่ครึ่งปีหลังเข้าช่วงไฮซีซันราคาเด้ง
01/08/55,GBX,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
10/07/55,GBX,ทันหุ้น,GBXแย้มงบH2/55ฟื้น เปิดรับพาร์ตเนอร์ใหม่
28/06/55,GBX,ทันหุ้น,"GBX ชี้ทองรอบนี้ไม่หลุด 1,525 ดอลล์ ราคาผันผวนสูงแนะทำกำไรลด..."
20/06/55,GBX,ทันหุ้น,'GBX'ไม่แนะซื้อทองคำหันShortโกลด์ฟิวเจอร์ส
30/05/55,GBX,ทันหุ้น,คอลัมน์ Globlex GoldFutures
29/05/55,GBX,ทันหุ้น,"ปัญหากรีซ-SPDขายกดทองร่วง มองกรอบลงทุน 1,527-1,620 ดอลล์"
23/05/55,GBX,ทันหุ้น,คอลัมน์ Globlex GoldFutures
22/05/55,GBX,ทันหุ้น,GBX ชี้นักลงทุนถือดอลล์เพิ่ม-มองทองย่อ เล็งกรอบลงทุน...
17/05/55,GBX,ทันหุ้น,โกลเบล็กกรุ๊ปดันบัญชีแตะ 2 หมื่น ชี้ทองใกล้แตะจุดต่ำสุดน่า...
15/05/55,GBX,ทันหุ้น,"GBX ชี้ทองคำต่ำสุด 1,520 ดอลล์ แนะเปิดสถานะ Short ลดเสี่ยง"
09/05/55,GBX,ทันหุ้น,"""GBX""ชี้ทองแกว่งตัวแรงขายเมื่อหลุด1,600ดอลล์"
03/05/55,GBX,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
24/04/55,GBX,ทันหุ้น,คอลัมน์ ตัวเลขเศรษฐกิจมะกันฉุดราคาทอง GBX มอง...
19/04/55,GBX,ทันหุ้น,GBX เดินเครื่องหาพันธมิตรหนุนลูกค้าสถาบันพุ่งพรวด
17/04/55,GBX,ทันหุ้น,"""โกลเบล็ก""แนะจับตาหนี้สเปน ชูฟิวเจอร์สลดเสี่ยงค่าเงินผันผวน"
11/04/55,GBX,ทันหุ้น,"GBXมองกรอบ1,612-1,678ดอลลาร์ ชี้นักลงทุนซื้อก่อนทยอยขายออก"
03/04/55,GBX,ทันหุ้น,"GBXจับตาตัวเลขเศรษฐกิจมะกัน ทยอยขายก่อนชนต้าน1,700ดอลล์"
27/03/55,GBX,ทันหุ้น,ภาพข่าว: ประชุมผู้ถือหุ้น
27/03/55,GBX,ทันหุ้น,คอลัมน์ RCA เรื่องเล่าปากซอย
27/03/55,GBX,ทันหุ้น,"""โกลเบล็ก""ชี้ทองผันผวนแรง มองกรอบ1,625-1,683ดอลล์"
20/03/55,GBX,ทันหุ้น,"GBXชี้ราคาทองเด้งกรีซรอด มองไซด์เวย์ 1,635-1,685 ดอลล์"
12/03/55,GBX,ทันหุ้น,"GBXสู้ศึกทองขาขึ้นลดขั้นต่ำ ""ออมทอง"" กรอบ 1,660-1,725 ลุ้น..."
05/03/55,GBX,ทันหุ้น,"GBXแนะซื้อทองคำหลังราคาพักฐาน มองกรอบ 1,690-1,750ดอลล์ต่อ..."
02/03/55,GBX,ทันหุ้น,'GBX'ชี้ระยะสั้นราคาทองเด้งได้
28/02/55,GBX,ทันหุ้น,"GBX ให้กรอบทอง 1,740 - 1,820 ดอลล์ จับตา EU ปลายสัปดาห์ดัน..."
14/02/55,GBX,ทันหุ้น,"GBX ชี้กรอบทอง 1,700-1,780 ดอลล์จับตาหนี้กรีชยืดเยื้อดันราคา..."
07/02/55,GBX,ทันหุ้น,"'GBX'ย้ำหนี้กรีชกดราคาทอง มองกรอบลงทุน 1,780-1,710 ดอลล์"
30/01/55,GBX,ทันหุ้น,"GBX แนะจับตาผลเจรจาหนี้กรีซ มองกรอบ 1,695 - 1,750 ดอลลาร์"
17/01/55,GBX,ทันหุ้น,"GBXชี้หมดยุคเก็งกำไรทองช่วงตรุษจีน มองกรอบ 1,590-1,680..."
13/12/54,GBX,ทันหุ้น,บล.โกลเบล็กดันมาร์เก็ตแชร์เพิ่มชู TFEXพระเอกช่องทางหารายได้
28/09/54,GBX,ทันหุ้น,GBXแนะซื้อกองทุนGOLD99ETFลงทุนทองคำจริง-ผลตอบแทนดี
16/09/54,GBX,ทันหุ้น,GBXมองค้าทองคำบูมวิ่งล้ำหน้างานธุรกิจบล.
30/06/54,GBX,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
20/06/54,GBX,ทันหุ้น,โกลแบล็กพร้อมเทรดซิลเวอร์ ฟิวเจอร์สจับมือบริษัทแม่รักษา...
01/06/54,GBX,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
18/05/54,GBX,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
18/05/54,GBX,ทันหุ้น,GBXเชื่อQ2ยอดขายทองพุ่ง อวดงบโค้งแรกกำไรโต117%
12/05/54,GBX,ทันหุ้น,'KTB'ยันโลนปีนี้โตเกิน10%มีคิวรอปล่อยกู้รายใหญ่ตรึม
06/05/54,GBX,ทันหุ้น,"""KTB""รับบุญรัฐทิ้งทวน6แสนล.ส่องหุ้นน่าสอยอัพ""ไซด์อื้อ40%"
28/04/54,GBX,ทันหุ้น,"""SAMTEL""ดาวเด่น3Gหนุนโบรกเพิ่มเป้าอัฟไซด์กว่า36%"
11/04/54,GBX,ทันหุ้น,"GBXคาดไตรมาส2ทองอ่อนตัวมองกรอบ19,600-21,000บาท"
05/04/54,GBX,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
04/04/54,GBX,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
07/02/54,GBX,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
27/01/54,GBX,ทันหุ้น,ออสสิริสยันวอลุ่มโกลด์ปีนี้ทะลักชี้ช่วงตรุษจีนราคาทองวิ่ง...
21/01/54,GBX,ทันหุ้น,GBXลั่นพร้อมขายซิลเวอร์ ขยายเวลาเทรดทองเที่ยงคืน
19/01/54,GBX,ทันหุ้น,"GBXเผยจีนฉุดทองอ่อนตัวเล็งกรอบ1,345-1,395ดอลล์"
12/01/54,GBX,ทันหุ้น,"GBXแนะเก็งทองคำช่วง สั้นเล็งกรอบ1,358-1,395ดอลล์"
20/12/53,GBX,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
20/12/53,GBX,ทันหุ้น,GBXเร่งขยายฐานเต็มสูบ รุกโปรดักต์ใหม่เงิน-น้ำมัน
13/12/53,GBX,ทันหุ้น,"GBXฟันธงปี54ทองขาขึ้น เล็งกรอบ1,300-1,650ดอลล์"
01/12/53,GBX,ทันหุ้น,"โกลเบล็กชี้ราคาทองผันผวน เล็งกรอบ1,335-1,380ดอลล์"
24/11/53,GBX,ทันหุ้น,"GBXแนะจับตาตัวเลขศก.สหรัฐ เล็งกรอบ1,330-1,385ดอลลาร์"
11/11/53,GBX,ทันหุ้น,"โกลเบล็กชี้ทองคำขาขึ้น ลุ้นแตะต้าน 1,420 ดอลล์"
03/11/53,GBX,ทันหุ้น,GBXแนะชะลอลงทุนทอง จับตานโยบายการเงินเฟด
18/10/53,GBX,ทันหุ้น,'GBX'วาดฝันขาดทุนสะสม สู้ไม่ถอยดันGBSเข้าตลาดหุ้น
13/10/53,GBX,ทันหุ้น,"'GBX'แนะ'ซื้อทองช่วงสั้น' เล็งกรอบ1,325-1,370ดอลล์"
08/10/53,GBX,ทันหุ้น,คอลัมน์ นายเรียนรู้: SAT
07/10/53,GBX,ทันหุ้น,คอลัมน์ คุยกันหลังกระดาน
07/10/53,GBX,ทันหุ้น,"""KBANK""ติดลมบนงบQ3สุดเริ่ดกูรูเต็มใจติดป้ายหุ้น TOP PICKS"
06/10/53,GBX,ทันหุ้น,"GBXแนะเบรกลงทุนทองช่วงสั้น รอซื้อเก็บแนว1,275-1,280ดอลลาร์"
06/10/53,GBX,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
05/10/53,GBX,ทันหุ้น,ภาพข่าว: ครบรอบ 8 ปี
04/10/53,GBX,ทันหุ้น,คอลัมน์ คุยกันหลังกระดาน
04/10/53,GBX,ทันหุ้น,ASPวัดใจรอบนี้มีลุ้นพุ่ง5.35บ.
24/09/53,GBX,ทันหุ้น,คอลัมน์ นายเรียนรู้: LANNA
13/09/53,GBX,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
02/09/53,GBX,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
01/09/53,GBX,ทันหุ้น,"'GBX'แนะช้อนทองที่ 1,210 ดอลล์ YLG เน้นเก็งกำไรช่วงสั้นรอพัก..."
19/08/53,GBX,ทันหุ้น,คอลัมน์ Let's get FUN
19/08/53,GBX,ทันหุ้น,"""GBX""เปิดรับมิตรควบรวม จ่อยื่นไฟลิ่งGBSเข้าตลาด"
29/07/53,GBX,ทันหุ้น,ภาพข่าว: คอลัมน์ ทำเนียบทันหุ้น: แจกจริง
29/07/53,GBX,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
29/07/53,GBX,ทันหุ้น,คอลัมน์ นายเรียนรู้: HEMRAJ
29/07/53,GBX,ทันหุ้น,"""GBX""คิดใหญ่รุกข้ามชาตินำหลักทรัพย์เทรดฮ่องกง"
28/07/53,GBX,ทันหุ้น,"""GBX""ปลื้มขายทองครึ่งแรก4.3พันล. มั่นใจปีนี้เข้าเป้าหลังเปิด..."
22/07/53,GBX,ทันหุ้น,"""GBX""มองทองไร้ปัจจัยหนุน แนะรายย่อยชะลอการลงทุน"
14/07/53,GBX,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
14/07/53,GBX,ทันหุ้น,"""GBX""เชื่อราคาทองคำเด้งต่อ แนะ""ซื้อ""ฉวย""เก็งกำไรสั้น"""
02/07/53,GBX,ทันหุ้น,"""โกลเบล็ก""แนะ""เก็งกำไร""ทองชี้กลยุทธ์ถือรอขายช่วงดีดตัว"
25/06/53,GBX,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
24/06/53,GBX,ทันหุ้น,"""GBX""คาดQ4/53ราคาทองพุ่ง"
17/06/53,GBX,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
10/06/53,GBX,ทันหุ้น,คอลัมน์ จับชีพจรหุ้นร้อน
09/06/53,GBX,ทันหุ้น,คอลัมน์ จับชีพจรหุ้นร้อน
09/06/53,GBX,ทันหุ้น,"""GBX""มองปัญหาหนี้ยุโรปลามอานิสงส์ราคาทองคำปรับตัวขึ้น"
02/06/53,GBX,ทันหุ้น,'TMI-CYBER' ดาวรุ่งพุ่งแรง เทรดถล่มทลายเฉียดพันล้าน
25/05/53,GBX,ทันหุ้น,"""โกลเบล็ก""มองทองพักฐานซูมเทคนิคลุ้นรีบาวนด์ช่วงสั้น"
19/05/53,GBX,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
