Date,Source,HeadLine
08/01/58,ทันหุ้น,ESTARทุนยุโรปรุกถือพีพีบุ๊กขายที่2.17พันล.-เป้า3บ.
16/12/57,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
12/12/57,ทันหุ้น,ESTARดวงเฮงส้มหล่นใส่2เด้งฝรั่งดีลพีพี1.68บ.-PSดอดซื้อที่ดิน
21/11/57,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
21/11/57,ทันหุ้น,ESTARล้างขาดทุนหมดเกลี้ยงบุ๊กกำไรขายที่ดินอ่อนนุช500ล.
14/11/57,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
13/11/57,ทันหุ้น,ESTARบุ๊กขายที่1.4พันล.โชว์กำไรQ3ทะยาน3เท่าตัว
12/11/57,ทันหุ้น,คอลัมน์ GloblexSecurities: Boom Stock
06/11/57,ทันหุ้น,คอลัมน์ GloblexSecurities: Boom Stock
06/11/57,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
30/10/57,ทันหุ้น,ESTARโชว์แลนด์แบงก์2พันล.ทุนใหญ่ตบเท้าซื้อที่มาบข่า600ไร่
30/10/57,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
27/10/57,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
22/10/57,ทันหุ้น,'ESTAR'โวผลงานQ3ทะลัก ลุ้นขายที่พันล.-งบกระโดด
02/10/57,ทันหุ้น,ESTARทุนใหญ่อสังหาซื้อที่MRTบุ๊กเข้ากรุ1.3พันล.-เป้าเกิน2บ.
01/10/57,ทันหุ้น,คอลัมน์ พิมพ์นิยม: หุ้น-ESTAR
03/09/57,ทันหุ้น,ESTARบุ๊กพิเศษขายที่พันล้าน หุ้นซ้อนมูลค่า-เป้าไกล2บาท
26/08/57,ทันหุ้น,คอลัมน์ พิมพ์นิยม: หุ้น-ESTAR
20/08/57,ทันหุ้น,คอลัมน์ พิมพ์นิยม: หุ้น-ESTAR
05/08/57,ทันหุ้น,'ESTAR'ฉายแววQ2แกร่งทุ่มงบซื้อที่ผุดโครงการหรู
24/07/57,ทันหุ้น,ESTARทำดีลใหญ่ร่วมทุนหุ้นซ้อนมูลค่าเป้าไกล2บาท
